Format Version,1.25,Take Name,Take 2026-01-05 06.23.38 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-01-05 06.23.39.046 下午,Capture Start Frame,526605,Total Frames in Take,2426,Total Exported Frames,2426,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1175,Unlabeled 1175,Unlabeled 1175
,ID,"22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0","22B:C34CB1E4EA1611F0"
,Parent,,,
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
393,3.275000,31.547026,123.046120,239.211044
394,3.283333,31.546957,123.031738,239.217148
395,3.291667,31.540613,123.040108,239.204285
396,3.300000,31.538244,123.037521,239.204300
397,3.308333,31.533596,123.040741,239.212357
398,3.316667,31.531475,123.019379,239.214767
399,3.325000,31.530581,123.039398,239.189468
400,3.333333,31.527739,123.013260,239.207642
401,3.341667,31.529934,123.024780,239.206085
402,3.350000,31.536993,123.047523,239.192154
403,3.358333,31.535744,123.049492,239.180634
404,3.366667,31.540562,123.059616,239.182220
405,3.375000,31.543615,123.057083,239.190048
406,3.383333,31.549419,123.039474,239.202805
407,3.391667,31.548136,123.046967,239.198746
408,3.400000,31.548300,123.044167,239.207291
409,3.408333,31.547260,123.042274,239.231186
410,3.416667,31.566061,123.155891,239.247849
411,3.425000,31.542797,123.046242,239.233398
412,3.433333,31.533413,123.027161,239.245499
413,3.441667,31.554289,123.136070,239.260803
414,3.450000,31.555418,123.158104,239.258438
415,3.458333,31.530224,123.043175,239.237213
416,3.466667,31.535984,123.048615,239.239410
417,3.475000,31.553295,123.132317,239.263214
418,3.483333,31.535454,123.046791,239.234222
419,3.491667,31.535179,123.059677,239.206680
420,3.500000,31.528852,123.052383,239.205811
421,3.508333,31.525827,123.046913,239.197510
422,3.516667,31.526920,123.048576,239.192932
423,3.525000,31.520475,123.044174,239.200516
424,3.533333,31.523834,123.044365,239.200684
425,3.541667,31.527004,123.068970,239.185394
426,3.550000,31.526304,123.061272,239.201981
427,3.558333,31.527401,123.067574,239.187042
428,3.566667,31.541742,123.166519,239.211945
429,3.575000,31.520460,123.071220,239.194748
430,3.583333,31.526663,123.097893,239.187836
431,3.591667,31.529564,123.124046,239.187088
432,3.600000,31.551353,123.229057,239.221786
433,3.608333,31.550955,123.224045,239.242874
434,3.616667,31.556883,123.243141,239.240570
435,3.625000,31.562195,123.262184,239.253159
436,3.633333,31.561039,123.269165,239.273880
437,3.641667,31.564739,123.278549,239.271027
438,3.650000,31.567249,123.281898,239.275101
439,3.658333,31.566732,123.283089,239.282379
440,3.666667,31.564508,123.294289,239.276642
441,3.675000,31.564041,123.273071,239.299088
442,3.683333,31.559124,123.298042,239.288055
443,3.691667,31.557396,123.320122,239.294067
444,3.700000,31.551596,123.341003,239.307556
445,3.708333,31.541313,123.337265,239.334839
446,3.716667,31.527426,123.343155,239.359024
447,3.725000,31.515095,123.370605,239.385406
448,3.733333,31.497412,123.404976,239.420654
449,3.741667,31.494648,123.436089,239.446289
450,3.750000,31.479727,123.456230,239.465195
451,3.758333,31.468477,123.473778,239.513565
452,3.766667,31.453527,123.517586,239.531647
453,3.775000,31.437601,123.542526,239.557999
454,3.783333,31.426680,123.538063,239.599365
455,3.791667,31.384226,123.714310,239.558884
456,3.800000,31.368933,123.766388,239.600082
457,3.808333,31.367146,123.901596,239.613907
458,3.816667,31.305614,124.098068,239.625320
459,3.825000,31.267296,124.140732,239.640503
460,3.833333,31.216522,124.179451,239.645187
461,3.841667,31.158283,124.198494,239.655624
462,3.850000,31.077528,124.208931,239.649109
463,3.858333,31.006079,124.153435,239.668793
464,3.866667,30.875471,124.295074,239.505066
465,3.875000,30.759983,124.290573,239.470154
466,3.883333,30.610147,124.347527,239.407593
467,3.891667,30.399509,124.593689,239.249313
468,3.900000,30.238386,124.588753,239.239944
469,3.908333,29.985277,124.229294,239.479904
470,3.916667,29.809065,124.157013,239.526321
471,3.925000,29.613655,124.091576,239.563843
472,3.933333,29.422945,124.089409,239.561493
473,3.941667,29.168940,124.255119,239.443817
474,3.950000,28.918926,124.391769,239.391708
475,3.958333,28.654970,124.595551,239.335526
476,3.966667,28.304190,124.394104,239.573715
477,3.975000,28.046789,124.589355,239.591003
478,3.983333,27.754179,124.828812,239.577896
479,3.991667,27.533182,124.898216,239.611786
480,4.000000,27.294943,124.933487,239.660034
481,4.008333,26.926464,124.963455,239.785660
482,4.016667,26.590645,124.943459,239.814774
483,4.025000,26.284719,125.159889,239.770111
484,4.033333,26.049101,125.238907,239.822540
485,4.041667,25.765509,125.503555,239.813095
486,4.050000,25.452799,125.771072,239.837234
487,4.058333,25.082102,125.455856,240.184021
488,4.066667,24.747478,125.782135,240.061111
489,4.075000,24.411839,126.191498,239.916077
490,4.083333,24.178549,126.421288,239.999435
491,4.091667,23.897902,126.665146,240.042923
492,4.100000,23.592907,127.123070,240.016479
493,4.108333,23.233326,126.983536,240.292297
494,4.116667,22.912951,127.340317,240.208008
495,4.125000,22.627712,127.724442,240.089432
496,4.133333,22.340672,128.118042,239.984970
497,4.141667,22.066595,128.405884,239.990921
498,4.150000,21.734758,128.807770,239.935028
499,4.158333,21.367607,128.641525,240.170776
500,4.166667,21.059362,129.006027,240.000122
501,4.175000,20.763969,129.354843,239.833344
502,4.183333,20.483152,129.717621,239.665466
503,4.191667,20.261335,129.875366,239.610245
504,4.200000,20.006882,130.076080,239.561981
505,4.208333,19.695824,130.130554,239.677246
506,4.216667,19.339642,130.406403,239.503479
507,4.225000,19.113728,130.651382,239.358337
508,4.233333,18.858889,131.117645,239.109146
509,4.241667,18.693783,131.267609,239.050095
510,4.250000,18.554380,131.429062,239.000687
511,4.258333,18.406958,131.652176,238.920853
512,4.266667,18.275120,131.905869,238.922546
513,4.275000,18.059587,132.441483,238.670502
514,4.283333,17.873899,132.851166,238.523941
515,4.291667,17.713017,133.255249,238.400772
516,4.300000,17.477457,133.916153,238.132019
517,4.308333,17.237541,133.875137,238.288025
518,4.316667,17.098061,134.122528,238.240479
519,4.325000,16.948156,134.332947,238.193176
520,4.333333,16.806322,134.495529,238.160461
521,4.341667,16.574806,134.967560,237.891403
522,4.350000,16.362831,135.426773,237.645432
523,4.358333,16.163622,135.764435,237.455078
524,4.366667,15.952476,136.084167,237.275787
525,4.375000,15.731364,136.334381,237.136246
526,4.383333,15.486176,136.714798,236.963623
527,4.391667,15.238906,136.991425,236.763855
528,4.400000,14.870593,136.944733,236.818588
529,4.408333,14.562110,137.404465,236.497803
530,4.416667,14.315970,137.481171,236.403763
531,4.425000,14.077028,137.555695,236.309875
532,4.433333,13.770173,137.837128,236.030273
533,4.441667,13.433981,138.081757,235.769547
534,4.450000,13.119571,138.295197,235.546143
535,4.458333,12.741108,137.989532,235.712524
536,4.466667,12.452834,138.101929,235.642303
537,4.475000,12.112159,138.585327,235.347076
538,4.483333,11.835282,138.948074,235.177094
539,4.491667,11.489617,139.584930,234.934174
540,4.500000,11.263803,139.737625,234.950378
541,4.508333,10.915475,139.556259,235.210098
542,4.516667,10.677672,139.662354,235.256516
543,4.525000,10.345958,140.283096,234.951904
544,4.533333,10.062204,140.642288,234.824158
545,4.541667,9.774792,140.954071,234.729904
546,4.550000,9.450975,141.392838,234.593842
547,4.558333,9.091151,141.167572,234.875549
548,4.566667,8.803268,141.474289,234.758652
549,4.575000,8.536262,141.826187,234.629425
550,4.583333,8.272224,142.201401,234.499146
551,4.591667,8.055251,142.460541,234.443741
552,4.600000,7.810261,142.713776,234.375290
553,4.608333,7.529326,143.040939,234.273376
554,4.616667,7.169433,142.649994,234.559814
555,4.625000,6.900373,142.839752,234.366959
556,4.633333,6.656135,142.957718,234.197433
557,4.641667,6.365047,143.187500,233.941833
558,4.650000,6.137281,143.068634,233.883255
559,4.658333,5.900033,142.919846,233.810471
560,4.666667,5.554624,142.793823,233.697937
561,4.675000,5.217411,142.538010,233.720413
562,4.683333,4.889855,142.772949,233.417084
563,4.691667,4.681182,142.702866,233.252716
564,4.700000,4.487647,142.665436,233.193542
